Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,530.000000,540.000000,528.000000,536.000000,536.000000,39489959
2021-01-05,536.000000,542.000000,535.000000,542.000000,542.000000,34839391
2021-01-06,555.000000,555.000000,541.000000,549.000000,549.000000,55614434
2021-01-07,554.000000,570.000000,553.000000,565.000000,565.000000,53392763
2021-01-08,580.000000,580.000000,571.000000,580.000000,580.000000,62957148
2021-01-11,577.000000,584.000000,574.000000,584.000000,584.000000,52771778
2021-01-12,583.000000,597.000000,582.000000,591.000000,591.000000,52605212
2021-01-13,595.000000,605.000000,593.000000,605.000000,605.000000,75707681
2021-01-14,587.000000,597.000000,587.000000,592.000000,592.000000,90309708
2021-01-15,621.000000,625.000000,601.000000,601.000000,601.000000,100998199
2021-01-18,608.000000,608.000000,594.000000,607.000000,607.000000,50388664
2021-01-19,618.000000,632.000000,613.000000,627.000000,627.000000,52947466
2021-01-20,633.000000,650.000000,631.000000,647.000000,647.000000,95484470
2021-01-21,640.000000,679.000000,640.000000,673.000000,673.000000,97590371
2021-01-22,649.000000,665.000000,649.000000,649.000000,649.000000,134238314
2021-01-25,642.000000,646.000000,626.000000,633.000000,633.000000,98608285
2021-01-26,632.000000,640.000000,610.000000,617.000000,617.000000,114797609
2021-01-27,618.000000,625.000000,611.000000,615.000000,615.000000,72823691
2021-01-28,600.000000,608.000000,598.000000,601.000000,601.000000,104181514
2021-01-29,619.000000,619.000000,591.000000,591.000000,591.000000,96875889
